tweet,time,score
Horse rescue outfit for horses from Camp Fire ,2018-11-14 23:45:18,
".@WHSHonkers coach/teacher, Karen McSpadden, lost her home in the #Campfire. Humbly, she says she wants nothing. We hope to deliver gift cards/small donations to help her with meals/necessities.  An envelope will be in the Willows HS office.  Delivery late Friday! #HonkerPride ",2018-11-14 23:45:16,
LASD SIB: LOS ANGELES COUNTY SHERIFF'S DEPARTMENT ANNOUNCES ADDITIONAL REPOPULATION FOR AREAS IMPACTED BY THE #WOOLSEYFIRE  ,2018-11-14 23:45:15,
"who is collecting , how is it monitored, and how are those that truly need help, going to get it... #CampFire ",2018-11-14 23:45:08,
"The admission by PG&amp;E, California’s biggest power company, that it may be to blame for at least one of the deadly fires ravaging the state sent company stock prices tumbling by as much as 30%.Read more:  ",2018-11-14 23:45:02,
"""My house, from my understanding, is still standing, but my community is gone, because — I don't know, what, somebody wants to make a buck off of power?"" Lorrie Lundy, a resident of Magalia, Calif., says. ",2018-11-14 23:45:00,
Bay Area air quality bad but getting slightly better. ,2018-11-14 23:45:00,
'I didn’t think we had hope': Walmart parking lot is ground zero for Camp Fire evacuees ,2018-11-14 23:44:54,
"I urge anyone who can, go to Gofundme, and search for Camp Fire. There are 6512 campaigns active. This was a small community that needs a lot if help. Please help if you can#campfire #ParadiseFire #PARADISE",2018-11-14 23:44:50,
Toyota offers to give Camp Fire hero nurse a new truck! ,2018-11-14 23:44:44,
"Lady Gaga surprises California wildfire evacuees with pizza, gift cards  via @NBCNews",2018-11-14 23:44:39,
CA Gov. Jerry Brown Vetoed 2016 Wildfire Management Bill While CA Burned! #PRAYING  #Campfire #Democrats ,2018-11-14 23:44:31,
You can donate to the #CampFire efforts through the North Valley Community Foundation  or through The United Way  ,2018-11-14 23:44:31,
Donations to this project will do directly to families who were impacted by the #woolseyfire - created by some wonderful #LVUSD parents.  ,2018-11-14 23:44:29,
LOS ANGELES COUNTY SHERIFF’S DEPARTMENT ANNOUNCES ADDITIONAL REPOPULATION FOR AREAS IMPACTED BY THE #WOOLSEYFIRE ,2018-11-14 23:44:23,
@MrHeater My husband and I have been long time users of your propane heaters. We are now in the middle of the aftermath of the #campfireparadise #campfire So many elderly and young ones are in freezing temps in tents and in their cars. Can you help?,2018-11-14 23:44:22,
"103 missing -- most of them senior citizens -- in California's Camp Fire, sheriff's office says ",2018-11-14 23:44:22,
"Suzanne Kaksonen, an evacuee of the #CampFire, and her cockatoo Buddy camp at a makeshift shelter outside a Walmart store in Chico, Calif., on Wednesday, Nov. 14, 2018. Kaksonen lost her Paradise home in the blaze ",2018-11-14 23:44:16,
"More than 100 are missing in California's Camp Fire, sheriff's office says  ",2018-11-14 23:44:14,
"I urge anyone who can, go to Gofundme, and search for Camp Fire. There are 6512 campaigns active. This was a small community that needs a lot if help. Please help if you can#campfire #ParadiseFire #PARADISE",2018-11-14 23:43:58,
The Terrifying Science Behind California’s Massive Camp Fire  via @WIRED,2018-11-14 23:43:47,
Support your #firefighters. Share &amp; donate if you can. #cdfffbenevolent #calfirelocal2881 #CampFire #WoolseyFire #FirstResponder #FireFamily #wildfire #brotherhood ,2018-11-14 23:43:42,
Inside California's worst wildfire: The unprecedented devastation of the Camp Fire. ,2018-11-14 23:43:39,
"One of the biggest surprises at today’s Cable Car Rally was the total *lack* of tourists at Ghirardelli Square, the Hyde/Beach cable car turn-around, and the Powell/Market cable car turn-around. I guess the #CampFire is keeping folks away.",2018-11-14 23:43:31,
"There are thousands displaced in Northern California, sleeping in tents and cars in parking lots due to #CampFire...and that makes my heart hurtGod, if I had millions...I definitely wouldn’t hire my own private fire fighters to focus on my houseBoom...roasted...",2018-11-14 23:43:29,
Thank you @oaklandpoliceca ! #campfireparadise #CampFirePets #campfire #oaklandPD ,2018-11-14 23:43:28,
"Camp Fire claims 48 lives, becomes the deadliest fire in California’s history ",2018-11-14 23:43:27,
Might fuck around and stand outside a second to long #campfire,2018-11-14 23:43:26,
"'Unprecedented' Camp Fire leaves Paradise in ashes  All #geoengineered! No care for the people, animals and trees which have been sacrificed! It hurts my heart :'( #chemtrails #HAARP #DEW",2018-11-14 23:43:16,
A Trojan family member lost his house in Malibu from the #WoolseyFire  Help if you can. Matt and Ximena Tuverson Family ,2018-11-14 23:43:13,
Here's the link:  #woolseyfire,2018-11-14 23:43:13,
"@DaddieVee It wasn't a camp fire. It's named after the road it started near, something like Camp Creek Rd.",2018-11-14 23:43:13,
New drone footage shows full horror of California's wildfires  via @MailOnline,2018-11-14 23:43:13,
"Our neighbors to the north and south have been greatly impacted by major fires. In Ventura and Los Angeles Counties the #WoolseyFire has burned 97,000+ acres and in Butte County the… ",2018-11-14 23:43:10,
The Butte County Sheriff’s Department released a list of 103 people still missing in the California wildfires. Most on the list are older than 70; many are in their 90s. ,2018-11-14 23:43:04,
"Just as a mule had run out of energy trying to escape a swimming pool, heroes emerged -- and hope flickered anew from the embers of Paradise, California  #CampFire #CaliforniaFires ",2018-11-14 23:43:04,
Sierra Nevada Brewing Co. establishes Camp Fire Relief Fund  ,2018-11-14 23:43:03,
The latest NASA imagery from space of the wildfire smoke from northern and southern California. The central Valley getting the worst of the air quality as smoke settles and creates an inversion.#nhkworld #nhknewsline #worldweather #campfire #WoolseyFire ,2018-11-14 23:42:48,
Shit is wild I just saw some some niggas getting roasted like on a camp fire 😂😂 ,2018-11-14 23:42:44,0.0
REPORT: Shivering horse found waiting out Camp Fire in backyard pool (PHOTOS) ,2018-11-14 23:42:43,
"No worriesSuperfund toxic waste site owned by Boeing #CaliforniaFire  Rips Through Nuclear Waste Site, Fueling Concerns of Airborne Radioactive Toxins  #WoolseyFire",2018-11-14 23:42:40,
"Death Toll Mounts To 48 In Northern California Fire, Deadliest In State…  ExcitingAds! News",2018-11-14 23:42:33,
Information for the hashtags #ThousandOaks #WoolseyFIre #WoolseyFires #WestlakeVillage #AgouraHills #Calabasas #LakeSherwood #OakPark #NewburyPark ,2018-11-14 23:42:21,
Super smokey day in the #BayAreaWX #CampFire #CaliforniaFires #SanJose #SanFrancisco #Oakland ,2018-11-14 23:42:16,
"#CampFire Trees untouched, homes burnt down. Embers and house-to-house spread responsible.   De-forestation and logging not the answer to saving homes. ",2018-11-14 23:42:15,
"Due to the amazing response from our community, we are now asking for all donations to be in monetary form. #CampFire",2018-11-14 23:42:09,
"How we’re running the City’s payroll today. Get a respirator mask and stay indoors. The air quality is extremely unhealthy. For our non California friends - our paradise friends have lost their entire town, the #campfire #ParadiseStrong #firefighterheros ",2018-11-14 23:41:55,
"@oneplus @OnePlus_USA My #oneplus 5 has been invaluable through the past 5 days of #cafires. It's held a charge, kept service when I was moving/evacuating, broadcasted, and handled communications to help assist friends. Great phone! #WoolseyFire #oneplus_usa",2018-11-14 23:41:48,
My friend Es has a cousin who lost everything in the Paradise/Camp Fire. Please help if you can. ,2018-11-14 23:41:39,
"I feel bad for our earth, we should be taking care, replenishing, loving, and making it our first priority but no... b/c of a few ppl leaving a camp fire has literally caused most of CA’s air to be shit, why worry about damaging ur lungs from smoking wen you can just walk outside",2018-11-14 23:41:38,
"#LIVE FIRE RELIEF: #CBSLA and @RamsNFL have teamed up with @LAUnitedWay to help Southern California fire victims.DONATE NOW:- Call (818) 821-1080 - Text ""2018fires"" to 41444- Donate online at #WoolseyFire #HillFire #CBSLAhelps  ",2018-11-14 23:41:37,
"Dont completely agree with @POTUS on the #CampFire situation, but if you cant build houses in flood prone areas, why can you build in wildfire areas ? @IAFFNewsDesk #firefighters #firefighter",2018-11-14 23:41:37,
"families with nothing to eat, no where to sleep.... ",2018-11-14 23:41:35,
"Ian is my son and Fiona my six year old granddaughter. He works hard and is a single dad. He bought his home hoping to provide Fiona a secure home. Today he finally found out it was totally destroyed in the Camp Fire. Today he starts over, it’s hard but he’s strong.",2018-11-14 23:41:28,
"FIRE RELIEF: #CBSLA and @RamsNFL have teamed up with @LAUnitedWay to help Southern California fire victims:Donate now:- Call our phone bank at (818) 821-1080 - Text ""2018fires"" to 41444- Donate online at  #WoolseyFire #HillFire #CBSLAhelps ",2018-11-14 23:41:26,
Unbelievable the #CAMPFIRE is still actively burning yet the lawyers have filed suits against the Power Company. Peoples lives in totally destroyed yet the blood suckers are feeding up.,2018-11-14 23:41:18,
Paradise residents sue PG&amp;E in California's devastating Camp Fire  via ,2018-11-14 23:41:16,
"“While the cause of the Camp Fire is still under investigation, if the Utility’s equipment is determined to be the cause, the Utility could be subject to significant liability in excess of insurance coverage.” ",2018-11-14 23:41:14,
"Male neutered possible tabby, transferred from VCA Valley Oak to Loomis. Found near Rite Aid in Paradise #clark #elliott #campfire #campfirepets Source:  ",2018-11-14 23:41:11,
Ways to help! #prayforcalifornia  ,2018-11-14 23:41:10,
Here is a Camp Fire google shortlink for people looking for an aggregate way to bounce around on NorCal #CampFire stuffs.,2018-11-14 23:41:07,
3rd body found in Southern California fire zone ,2018-11-14 23:41:02,
Please consider helping the 'Camp Fire Animal Relief Fund' -   via @gofundme,2018-11-14 23:40:56,
@CAL_FIRE My daughter’s ins co sent her satellite photos of her home before/after the fire.  The photos showed all the homes still standing.  My daughter had a video of after the fire with 3 homes left in her neighborhood.She sent the video to prove they had inaccurate info. #CampFire,2018-11-14 23:40:54,
"@TamerOfLies @Kmgtorrey @brandongroeny @SeeRealEqual The Camp Fire, which started Thursday within or near the Forest Service boundary, has burned 111,000 acres. Most of the area burned, however, was outside the national forest.",2018-11-14 23:40:53,
LOS ANGELES COUNTY SHERIFF’S DEPARTMENT ANNOUNCES ADDITIONAL REPOPULATION FOR AREAS IMPACTED BY THE #WOOLSEYFIRE ,2018-11-14 23:40:53,
@LArunr @thenorthfaceECS Class act with the donation to #CampFire.,2018-11-14 23:40:50,
Garbage collector pulls 93-year-old woman in truck to save her from California Camp Fire ,2018-11-14 23:40:44,
"There are so many #CampFire survivors, sleeping in tents and their cars! ANYONE in Butte Co or NorCal that can donate some heaters? We cannot forget the survivors just because the days are going by. ",2018-11-14 23:40:43,
Amazing rescues in California. We found this cat at Wagstaff Road/Rocky Lane. @HaywardFireNews is driving around with pet food and water to help out animals who've made it through this fire! Kitty is at VCA Valley Oak Vet Center.  #CampFire... ,2018-11-14 23:40:35,
This. Is. Not. The Camp Fire. ,2018-11-14 23:40:28,
Only YOU can prevent forest fires. #CampFire ,2018-11-14 23:40:25,
Looking to support families who lost their homes in the #WoolseyFire? Please consider donating to my soon-to-be family-in-law.  ,2018-11-14 23:40:23,
"Stories of Survival From the Camp FireFollow KQED's ongoing wildfire coverage. The Camp Fire in Butte County is now the most destructive and deadly blaze in California history, having killed at least 48 and destroyed more than thousands of homes and b... ",2018-11-14 23:40:20,
"Time to start reading up on how towns and cities recover from tornadoes, which is the only other socionatural event in the US that seems to compare in terms of speed and town-wide destruction as #CampFire.",2018-11-14 23:40:12,
'It's going to get worse': Official fear many more deaths in California wildfires - ABC News -  via @ABC,2018-11-14 23:40:11,
"WATCH: Ominous drone footage shows Camp Fire in Chico, California: This video, shot by teacher Michael Peck and his student production team, showed the football field and town between 10:30 and 11:30 am on Nov. 9.  #US ",2018-11-14 23:40:09,
"This evening I spoke with @Morphiusfilm , a US based filmmaker who takes me through his experience of the #WoolseyFire  Here is that conversation  #podcast #podernfamily",2018-11-14 23:40:09,
"Camp Fire: Reno man jailed on drug, gun charges in evacuated area. ",2018-11-14 23:40:07,
This is such a nice thing for #AmazonPrime to suggest giving smoke detectors to those affected by the wildfires. #CampFire #CaliforniaFires ,2018-11-14 23:40:07,
"Interior Secretary Ryan Zinke called the Camp fire, which practically destroyed the town of Paradise in Northern California, “worse than any war zone I saw in Iraq"" ",2018-11-14 23:40:00,
"Y’all I don’t mean to be rude or anything but like... could california have chosen a better name for Camp Fire?? It doesn’t sound threatening at all, it sounds like I want to cuddle up next to it and make s’mores",2018-11-14 23:40:00,
@dj_pelletier @weatherchannel Rumor up here in Northern California is the Paradise one (Camp Fire) was caused by faulty PG&amp;E equipment..,2018-11-14 23:39:51,
"Stay inside if you can!  Air quality is still bad now.. in the unhealthy to very unhealthy category.   Unfortunately, not much improvement next 4  days.  Smoke impacts from #CampFire are going to continue.  #CaliforniaFire #CAfire ",2018-11-14 23:39:49,
#repost code_1_ff Our thoughts and prayers are with the people who have been impacted by the #campfire and the #woosleyfire ,2018-11-14 23:39:48,
"""Local officials warned the destruction from the Camp Fire could set off a wave of refugee migration akin to a smaller version of the Dust Bowl of the 1930s."" ",2018-11-14 23:39:48,
"Our hearts go out to the victims of the Butte County Camp Fire. Thank you to the firefighters and all of those on the ground supporting those affected. To assist, visit The Salvation Army landing page &gt;&gt;  #buttecountystrong #paradisestrong #calistrong ",2018-11-14 23:39:48,
Camp Fire evacuees face housing and humanitarian crisis | The Sacramento Bee ,2018-11-14 23:39:48,
More than 100 missing -- most of them senior citizens -- in California's Camp Fire  ,2018-11-14 23:39:37,
"The Camp Fire is very different from previous wildfires. The victims are older, poorer and, likely, more disabled. It will be much more difficult for them to get by and get back on their feet. A humanitarian crisis in the making. ",2018-11-14 23:39:29,
"In Paradise, some landmarks go untouched while #Campfire consumes others ",2018-11-14 23:39:26,
From the Mercury News Page : There are so many ways you can help victims of the Camp Fire. Pick one:• Offer free housing through Airbnb's disaster program• Donate fresh... ,2018-11-14 23:39:21,
"""People make public appeals for unreachable loved ones during Northern California fire""  ",2018-11-14 23:39:12,
@PopArtModern @Debi129 Make that death toll 48.....with 100’s missing. All of the dead are from the #CampFire....(#ParadiseFire). #heartbrokeninNoCal,2018-11-14 23:39:02,
"""Camp Fire has become California's deadliest fire in 85 years""  ",2018-11-14 23:38:52,
Notice anything missing? That would be the downtown Sacramento skyline. View is from the Harbor Blvd. freeway overpass. #CampFire #CaliforniaWildfires #smoke ,2018-11-14 23:38:51,
@mehdirhasan @TerrellThomas24 Do one with jerry brown: CA Gov. Jerry Brown Vetoed 2016 Wildfire Management Bill While CA Burned  #CampFire #WoosleyFire #CAFires #JerryBrown,2018-11-14 23:38:49,
Inside California's worst wildfire: The unprecedented devastation of the Camp Fire ,2018-11-14 23:38:45,
