tweet,time,score
@berkeleyside where are clothing donations being accepted in Berkeley for the camp fire victims?,2018-11-16 23:44:53,
Smoke From Camp Fire Making Sacramento the Most Polluted City on Earth by Dr. Jeff Masters | Category 6 ,2018-11-16 23:44:49,
Hmmmm the reported 200 seems.....low #sfairquality #campfire ,2018-11-16 23:44:39,
More than 600 unaccounted for after Northern California fire .@CNNI ,2018-11-16 23:44:39,
Wildfire evacuees at camp in Walmart parking lot given deadline to leave ,2018-11-16 23:44:34,
I'm sure most of you have heard about #campfire #campfire2018 There are currently over 600 souls missing. Several neighborhoods have been leveled. I can't speak for foundations collecting… ,2018-11-16 23:44:24,
"Brown, Newsom to Join Trump on Camp Fire Visit ",2018-11-16 23:44:19,
@AmazonHelp i hear there are delivery challenges here in nor cal due to #CampFire which is also why I paid (!!) for 2-day shipping for an air purifier 😷. order status says 5 days now...will a shipping refund be applied?,2018-11-16 23:44:11,0.0
Smoke continues to inundate the region with air quality still very unhealthy across much of the #SF #BayArea. Limit outdoor exposure as much as possible. Spare the Air Alert continues through Tuesday 11/20.  #CampFire #CAwx #CAfire ,2018-11-16 23:44:05,
How the Camp Fire Stacks Up to Other Disasters  ,2018-11-16 23:44:04,
"TY for OK’ing tens of 1000s of gas &amp; oil wells that irretrievably contaminate California’s aquifers for centuries &amp; accelerate her roasting, @JerryBrownGov. You’re as much of a hypocrite on climate as you were on death penalty (once you destroyed Pat’s career with it). #campfire ",2018-11-16 23:44:03,
!! #woolseyfire closure !! all lanes shutdown until further notice in #Malibu on Malibu Cyn Rd SB between Piuma Rd and Hwy 1 #LAtraffic,2018-11-16 23:43:52,
Hour-by-hour smoke forecast.  Minor improvement in air quality expected tomorrow (SAT) as wind switches direction pushing #smoke from #CampFire north.  #CaliforniaWildfires #SanFrancisco #BayArea ,2018-11-16 23:43:47,
The whole Bay Area has a headache. #BayAreaSmoke #CampFireSmoke #CampFire ,2018-11-16 23:43:46,
"Sutter Street Steakhouse is partnering with @5thStreetSteak, @FrankysChico, @RileysChico, &amp; @LaSallesChico to help #CampFire victims. Our staff, friends, &amp; family have been personally affected by the destruction. Please consider making a contribution here:  ",2018-11-16 23:43:37,
"🎵🎶 If you're going to San Francisco, be sure to wear an N95 respirator approved by the National Institute of Occupational Safety and Health intended to block 95% of PM2.5 particulate matter.🎶🎵#CampFire #ButteCounty",2018-11-16 23:43:37,
@girlsreallyrule Maybe he will bring rain but not get out of plane? @realDonaldTrump #CampFire #FuckImpotentTrump,2018-11-16 23:43:35,
631 people are listed as missing from the Camp Fire by Butte County  ,2018-11-16 23:43:34,
@FRANKIEmusic the super attendant of butte county is looking for artists to perform in Laxon Auditorium in Chico California to support the victims of the camp fire next week. I thought of you and if you are interested I can get you more information.,2018-11-16 23:43:23,
Over a hundred canada geese have taken up residence at Thomas hart middle school in Pleasanton. Apparently seeking respite from the hazardous level of smoke in the area from the camp fire. ,2018-11-16 23:43:23,
"1/  If anyone needs help w/ cleanup/etc around #WoolseyFire areas, pls let me know. I’m homeless, out of gas &amp; cash (awesome combo, I know!), but will work for free if you get me there (bus/group van/other). Hardworking, compassionate, empathetic: pls let these have meaning.",2018-11-16 23:43:16,
The best list of #CampFire donation opportunities I've seen. Check it out and help out: ,2018-11-16 23:43:15,
What an asshole this guy is. Speaking out of turn about things he knows absolutely NOTHING about. I hope he's not expecting a warm welcome.#CampFire #WoolseyFire #California ,2018-11-16 23:43:14,
@michaelschweitz $50 says that jackass just wants to sit in a firetruck.#campfire #trump,2018-11-16 23:43:14,
"Inside the Camp Fire perimeter, these residents faced the inferno. Now, they're staying put.  via @usatoday",2018-11-16 23:43:13,
I was talk to my grandmother about the #CampFire which is happening around her home town. She told me there was a bridge near #ParadiseCA where she and her first boyfriend carved their names. That bridge was destroyed in the fire. #fires #Paradise,2018-11-16 23:43:13,
Google map shows where the fire still is.  This is insane though.  The #Woolseyfire started near #SimiValley but burned all the way to Malibu? The size of it is the size of the city of… ,2018-11-16 23:43:12,
Thanks to Kelly-Moore Paints and 3M for providing free N95 masks! Get yours while they last. The air quality in the Bay Area is so terrible due to the Camp Fire ... We need rain!… ,2018-11-16 23:43:09,
California Fire: Hearses Stand By as Relatives Search for Over 100 Missing Loved Ones  ,2018-11-16 23:43:04,
California Fire Storm continues. No end in sight. ,2018-11-16 23:43:01,
Absolutely I agree with that. California tax payers agreed on more inquiries on gas taxes. Dumb Eh?  Two previous state Bonds were past for infrastructure like building more water reservoirs. Even upkeeps on dams. #OrovilleDam. #CarrFire. #CampFire. All should be held accountable ,2018-11-16 23:42:57,
Wow! Just saw on CBS Evening News that San Francisco and the Bay Area has the worst air quality in the world tonight due in part to the Camp Fire. You’re in my thoughts and prayers folks. I was born and raised in that area.,2018-11-16 23:42:41,
#SanFrancisco #campfire View from the office ,2018-11-16 23:42:38,
"Inside Northern California's record-breaking Camp Fire perimeter, these residents faced the inferno. Now, they're staying put inside the evacuation zone,  via @samzgross ",2018-11-16 23:42:30,
California: Camp fire death toll rises to 63 with more than 600 still missing ,2018-11-16 23:42:26,
"#LISTEN: Hear firefighters and dispatchers talk about mysterious ""second fire"" about half hour after #CampFire  #Paradise #ParadiseCA #ParadiseFires",2018-11-16 23:42:25,
It the Holidays they need your help. Very sad. ,2018-11-16 23:42:24,
"O wow some reveling comentary about the so called ""camp fire "" fires in California ",2018-11-16 23:42:24,
Madera Sheriff's deputies and Search &amp; Rescue volunteers assist in the recovery efforts on the #CampFire. #MaderaSheriff  ,2018-11-16 23:42:24,
Trump will talk about the need for increased forest management during his trip to Northern California wildfire sites on Saturday #ClimateChange #CampFire #CaliforniaWildfires  ,2018-11-16 23:42:21,
"Many thanks to our DBH beach maintenance crews for their tireless work during the #WoolseyFire! Not only have they helped evacuees at County beaches; they've also been on clean-up duty. This morning, crews used a DBH water truck to douse smoldering areas at Pt. Dume. ",2018-11-16 23:41:59,
"Find out how, together, we can help those impacted by the #CampFire #ButteStrong  ",2018-11-16 23:41:48,
"The hazardous air quality in Northern California has been rated worse than cities in India and China, with the EPA’s quality index in Sacramento hitting 316. Breathing in that air for a day is roughly equivalent to smoking 14 cigarettes.",2018-11-16 23:41:43,
"Hollywood Celebrity Prays Psalm 91, Deadly California Fire Miraculously Stops at Border of Her Property ",2018-11-16 23:41:32,
How would you describe the air quality in your area now?  #SanFrancisco #BayArea #CampFire,2018-11-16 23:41:29,
Click here to support Bluescape Camp Fire Relief Fund organized by Bluescape ,2018-11-16 23:41:27,
Asking #Hotels in #California PLEASE open your doors and heart to those who have suffered enough. Give shelter!   #Paradise  #CaliforniaFire #WoolseyFire  💕,2018-11-16 23:41:22,1.0
@monicarix check out #Seminolesprings we lost half of our community and we need help. We lost everything. Our home was burned to the ground. Help us in not being forgotten. #Woolseyfire #malibu #MalibuFire ,2018-11-16 23:41:20,
60+ dead from CA fires; hundreds missing....and CA Congressman Swalwell would nuke Americans for refusing to give up legally owned firearms.God help America if Swalwell ever gains that kind of power!#CA15 #maga @LouDobbs @PORACalifornia @HouseDemocrats #campfire #woolseyfire,2018-11-16 23:41:12,
Sending prayers to all the victims of California fire 😔,2018-11-16 23:41:10,0.0
@SecNielsen You screwed up with 🌀 Katrina. Don't make that same mistake! Order those @fema SHELTER TRAILERS for California NOW! People are HOMELESS! #CampFire,2018-11-16 23:41:09,
Air Index of 241 from the @UnlimitedIRL office because of the #CampFire ,2018-11-16 23:40:59,
"the chromium &amp; the cancer wasn’t enough, @PGE4Me? damn. #CampFire",2018-11-16 23:40:58,
Please support what you are able💰😇🌾🌈💜💞💪 #campfire #woolseyfire Our neighbors need our help! Be their angel today.😇🌈💖🍏🍎🍐🍋🍊🍇🍓🍒🍑 ,2018-11-16 23:40:53,1.0
Please Share. #CampFire #CampFirePets @fema @ButteSheriff @CALFIRE_ButteCo @forestservice @ChicoFD @colinmochrie ,2018-11-16 23:40:49,
Fallout from Camp Fire: Air quality in Bay Area at dangerous levels  via @NBCNews,2018-11-16 23:40:46,
"Regroup, Patagonia, Play-Doh and Sandbox ready to take on our first FiA GrowRuck Light in TN tomorrow.  Social and camp fire tonight! ",2018-11-16 23:40:45,
Northern California air quality reaches dangerous levels as smoke from Camp Fire spreads - NBC News ,2018-11-16 23:40:37,
Here is a little message for anyone who plans to go out camping during this holiday season and beyond. #prayforcalifornia  #campfire #preventwildfires #preventwildlifecrime #preventwildfireca #holidaymessage ,2018-11-16 23:40:21,
@ezraklein The AQI cigarette equivalent for Sacramento was even worse yesterday. Pretty incredible given that we’re almost 100 miles from the #CampFire. ,2018-11-16 23:40:18,
"#DYK #wildfire smoke can travel thousands of miles, well beyond the fire zone? Protect your lungs:  #CampFire #WoolsleyFire ",2018-11-16 23:39:59,
"If you have insurance questions, or need to file a claim, we are “Here To Help Life Go Right” at the #ThousandOaks ‘insurancevillage’ (1401 E Janss Rd, Thousand Oaks). Thanks Phil Englander, Simi Valley @statefarm agent. @Philsmyagent #WoolseyFire #HillFire #insurance #widlfires ",2018-11-16 23:39:51,
"Don’t mind me, just driving through  the hill and Woolsey fire burn areas and seeing the memorials for the borderline victims &amp; crying in my car thinking about everyone affected here &amp; up north in the camp fire",2018-11-16 23:39:50,
Teen helps save 'Bachelor' mansion from #WoolseyFire  via @pagesix,2018-11-16 23:39:43,
Actual footage of @CNN @foxnews @msnbc covering the #campfire disaster... ,2018-11-16 23:39:42,
More than 600 unaccounted for after Northern California fire @CNNI ,2018-11-16 23:39:41,
Hundreds still missing in California's Camp Fire. Their families cling to hope  ,2018-11-16 23:39:40,
@CharlesPPierce Not to mention the Camp Fire mostly burned pine and fir trees; no leaves.,2018-11-16 23:39:39,
You’ve been asking what you can do to help our friends &amp; family in Paradise. Go to  &amp; click on the links on the fire banner to get started.#campfire #selfless #alltogether #buttecounty #paradisefire #paradisestrong #prayforparadise #calfire #helpothers ,2018-11-16 23:39:39,
Hundreds still missing in California's Camp Fire. Their families cling to hope ,2018-11-16 23:39:35,
‘I’m not going back’: Calif. deputies kill wanted felon amid Camp Fire cleanup ,2018-11-16 23:39:24,
"Apostolic Breakthrough International Ministries has set up donations for #Campfire victims displaced in Sacramento. If you need food, pet food, clothing, or toiletries, please give us a call. God Bless. 🙏 916-509-0111 #CaliforniaFires #CaliforniaWildfires",2018-11-16 23:39:05,1.0
"The list of people unaccounted for after the devastating Camp Fire skyrocketed to more than 600. Most fear the death toll, already at least 63, will rise.New questions emerge about how &amp; when Butte Co. residents were alerted. @DeMarcoReports has more  ",2018-11-16 23:39:02,
Someone tell Jeff Bezos to step up and give some of his trillions to help all the people that just lost their homes in the fires. #WoolseyFire #CampFire #ParadiseFire,2018-11-16 23:38:57,
"Los Angeles County has launched a #WoolseyFire Recovery Resource page, which has detailed information on everything from air quality to debris removal to mental health counseling, as well as links to report damage and register for federal... ",2018-11-16 23:38:56,
We are SO grateful to have been able to film at #ParamountRanch before the #WoolseyFire destroyed it. It will be forever memorialized for us in our #Westworld parody!@evanrachelwood @jimmisimpson @thandienewton @jfreewright @WestworldHBO #FlashbackFriday ,2018-11-16 23:38:54,
"On a serious note, here’s how you can help  send us some love foo! ❤️❤️❤️",2018-11-16 23:38:52,1.0
Northern California air quality reaches dangerous levels as smoke from Camp Fire spreads - NBC News ,2018-11-16 23:38:39,
Maybe they should call the #campfire the #PGE fire. #CaliforniaWildfires #californiawildfire #pacificgasandelectric,2018-11-16 23:38:36,
PG&amp;E unlikely to go bankrupt because of wildfires,2018-11-16 23:38:34,
I just wanna know who thought it was okay to name the california fire campfire,2018-11-16 23:38:26,
‘California Fire Foreshadowing Great Events Daniel 12 1 Part A 1’ on #SoundCloud #np ,2018-11-16 23:38:11,
The governor and Gavin Newsom will be with President Trump as he surveys the fire damage tomorrow in Butte County #CampFire #CaliforniaWildfires @FOX40 ,2018-11-16 23:38:10,
"Camp Fire Update: More Than 600 People Missing, 63 Dead in California’s Deadliest Wildfire  Someone to blame Jerry Brown JR.And people from CA votd Demos again. It's Karma.",2018-11-16 23:38:06,
6 Celebrities Pitching in to Help With California Fire Relief  #globalcitizen,2018-11-16 23:38:05,
‘We Were Totally Unscathed’: #Pastor Recalls Miraculous #Wildfire Survival Despite Church Group Being Surrounded By Raging Inferno  #CampFire #ParadiseFire #ParadiseStrong ,2018-11-16 23:38:05,
Netvestor Vlae weighs in with more thoughts about California utility PG&amp;E #CampFire #PreferredStocks $PCG  ,2018-11-16 23:38:00,
"California fire laser conspiracy: Terrorism, illuminati or ALIENS - What caused the fires?  - Religious extremists are the most likely because they can make it look like a natural disaster. Check all web cams!",2018-11-16 23:37:57,
"This California fire is proof that anything can get snatched from you anytime, whether you’re living in poverty or if you’re Kylie Jenner. Stay humble.",2018-11-16 23:37:55,
List of people missing in California... ,2018-11-16 23:37:53,
Sending all my love to my Bay friends and everyone else affected by the California fires.... my heart aches as the death toll rises to 66 and the amount of missing people to 631..... ,2018-11-16 23:37:51,
Did a dead tree fall on a @PGE4Me powerline? Dead trees can’t be touched right? #WoolseyFire @JerryBrownGov @sacbee_news @sfchronicle @mercnews @rushlimbaugh,2018-11-16 23:37:36,
"The Apocalypticon ~ The end of the world, impacts, WannaCry still there, army robots, Chinese state terror, US stupidity, the Camp Fire, Holocaust fears  ",2018-11-16 23:37:32,
#PurpleAir out here. #CampFire #BayAreaSmoke ,2018-11-16 23:37:32,
When is Marky Mark making his California fire movie? You know he’s gonna get it on this.,2018-11-16 23:37:26,
Northern California air quality reaches dangerous levels as smoke from Camp Fire spreads - NBC News ,2018-11-16 23:37:22,
"@Jenna_Marbles @juliensolomita please tell me you're safe from Camp Fire.. thinking of you guys, the cermets, and meebles 💜",2018-11-16 23:37:21,1.0
We in southern California are not immune... Hope masks are available in larger amounts near the Camp Fire zone. The effects won all show immediately! ,2018-11-16 23:37:17,
Hundreds still missing in California's Camp Fire. Their families cling to hope - CNN ,2018-11-16 23:37:14,
